年度,年齡層,卷別,報名人數,到考人數,通過人數
111,0~6歲,A卷,13,10,1
111,0~6歲,B卷,0,0,0
111,0~6歲,C卷,0,0,0
111,13~15歲,A卷,1563,1118,814
111,13~15歲,B卷,179,147,48
111,13~15歲,C卷,6,1,0
111,16~18歲,A卷,457,302,268
111,16~18歲,B卷,243,160,75
111,16~18歲,C卷,18,13,2
111,19~22歲,A卷,185,134,129
111,19~22歲,B卷,376,294,189
111,19~22歲,C卷,35,29,8
111,23~30歲,A卷,287,190,179
111,23~30歲,B卷,1361,878,520
111,23~30歲,C卷,76,55,14
111,31~40歲,A卷,464,319,311
111,31~40歲,B卷,2454,1586,1106
111,31~40歲,C卷,155,113,39
111,41~50歲,A卷,492,345,332
111,41~50歲,B卷,3564,2518,1969
111,41~50歲,C卷,335,254,67
111,51~60歲,A卷,215,151,144
111,51~60歲,B卷,1666,1233,981
111,51~60歲,C卷,295,234,75
111,61~70歲,A卷,64,50,47
111,61~70歲,B卷,264,211,162
111,61~70歲,C卷,73,58,11
111,7~12歲,A卷,4495,3195,1526
111,7~12歲,B卷,85,65,15
111,7~12歲,C卷,6,3,0
111,71歲以上,A卷,18,14,12
111,71歲以上,B卷,32,27,11
111,71歲以上,C卷,11,9,0
